timestamp,total_people,Right Zone,Entance,new
2025-12-22 12:11:14,13,3,5,5
2025-12-22 12:11:15,12,3,4,5
2025-12-22 12:11:15,11,2,4,5
2025-12-22 12:11:15,11,2,4,5
2025-12-22 12:11:15,12,3,4,5
2025-12-22 12:11:15,11,2,4,5
2025-12-22 12:11:15,13,3,5,5
2025-12-22 12:11:16,13,3,5,5
2025-12-22 12:11:16,14,4,5,5
2025-12-22 12:11:16,12,4,4,4
2025-12-22 12:11:16,12,4,4,4
2025-12-22 12:11:16,12,4,4,4
2025-12-22 12:11:16,12,4,4,4
2025-12-22 12:11:16,12,4,4,4
2025-12-22 12:11:16,10,4,3,3
2025-12-22 12:11:17,10,4,3,3
2025-12-22 12:11:17,10,4,3,3
2025-12-22 12:11:17,10,4,3,3
2025-12-22 12:11:17,10,4,3,3
2025-12-22 12:11:17,9,3,3,3
2025-12-22 12:11:17,10,4,3,3
2025-12-22 12:11:18,10,4,3,3
2025-12-22 12:11:18,10,4,3,3
2025-12-22 12:11:18,10,4,3,3
2025-12-22 12:11:18,7,3,2,2
2025-12-22 12:11:18,8,4,2,2
2025-12-22 12:11:18,7,3,2,2
2025-12-22 12:11:18,8,4,2,2
2025-12-22 12:11:18,8,4,2,2
2025-12-22 12:11:19,10,2,4,4
2025-12-22 12:11:19,9,3,3,3
2025-12-22 12:11:19,10,2,4,4
2025-12-22 12:11:19,8,2,3,3
2025-12-22 12:11:19,8,2,3,3
2025-12-22 12:11:19,8,2,3,3
2025-12-22 12:11:20,8,2,3,3
2025-12-22 12:11:20,8,2,3,3
2025-12-22 12:11:20,8,2,3,3
2025-12-22 12:11:20,8,2,3,3
2025-12-22 12:11:20,7,2,3,2
2025-12-22 12:11:20,9,3,3,3
2025-12-22 12:11:20,11,3,4,4
2025-12-22 12:11:20,10,3,4,3
2025-12-22 12:11:21,10,3,4,3
2025-12-22 12:11:21,10,3,4,3
2025-12-22 12:11:21,12,3,5,4
2025-12-22 12:11:21,12,3,5,4
2025-12-22 12:11:21,10,3,4,3
2025-12-22 12:11:21,10,3,4,3
2025-12-22 12:11:21,12,3,4,5
